Annam	6000295	null	null	Historical region	Polygon		https://www.google.com/maps/place/null+null	Coordinates are an estimate. TGN does not supply coordinates. The middle part of Vietnam would be fine for general coordinates, using Hué for example would be fine	false	Annam	Provinces de l’Annam	Annum
Anpoa, Fokien							https://www.google.com/maps/place/+	Not found	true	Anpoa, Fokien
Chenan							https://www.google.com/maps/place/+	not found; possibly refers to "Shih-nan"/modern-day "Enshi, Hubei" (TGN: 8203460) 	true	Chenan, Southern Hupeh	Chenan
Cheokiakeo							https://www.google.com/maps/place/+	No place found via Getty, Google, Google maps. An old map will be required	true	Cheokiakeo, Hona	Cheokiakeo, Honam	Cheokiako, Honan	Cheo-kia-kéo, Honan
Chung-hua							https://www.google.com/maps/place/+	Not found.	true	Chinghwa	Chung-hua
Eastern Siberia	7011548	null	null	General region	Polygon		https://www.google.com/maps/place/null+null	TGN for Siberia region	true	Eastern Siberia	Eastern Sib
Ho-shi-tun							https://www.google.com/maps/place/+	Not found; very little to go on - possibly linked to the place below?? But sounds more Jpanaese in a way	true	Ho-shi-tun
Hsingsi, Kueichow Province							https://www.google.com/maps/place/+	Not found	true	Hsingsi, Kueichow Province
K'u-hsien, Szechuen							https://www.google.com/maps/place/+	Not found	true	K'u-hsien, Szechuen	K'ü-hsien, Szechuen
Kang Boe, Fokien							https://www.google.com/maps/place/+	Not found	true	Kang Boe, Fokien
Kiaisiu, Shansi							https://www.google.com/maps/place/+	Not found	true	Kiaisiu, Shansi
Kinkiaeg							https://www.google.com/maps/place/+		false	Kinkiaeg
Koishikawa, Japan							https://www.google.com/maps/place/+		false	Koishikawa, Japan
Koke							https://www.google.com/maps/place/+	uncvertain, Kobe is the closest possibility	true	Koke
Kucheo, Chekiang							https://www.google.com/maps/place/+	Not found	true	Kucheo, Chekiang
Kuhwu, Shansi							https://www.google.com/maps/place/+	Not found	true	Kuhwu, Shansi
Kwei-hwa-chén, Shansi							https://www.google.com/maps/place/+	Kwei-hwa-chén is in the inner mongolia province, although there seems to be some confusion regarding it's position in european studies.	true
Kê-roy, Tonkin Septentrional							https://www.google.com/maps/place/+	Not found	true	Kê-roy, Tonkin Septentrional
Lampilao, Fokien							https://www.google.com/maps/place/+	Not Found: could be in the south of Fujien Province, perhaps 8 miles/12 Km from the coast.	true	Lampilao, Fokien
Laotian Regions, Siam						GR_Siam	https://www.google.com/maps/place/+	Territory of Laos in Siam, needs to be defined manually	true	Laotian Regions, Siam
Liang-cheo, Kansuh						GR_Kansuh	https://www.google.com/maps/place/+	seems to be a monastery in the Gansu region, TGN for Gansu	true	Liang-cheo, Kansuh	Liangcheo, Kansuh
Lohau-chai							https://www.google.com/maps/place/+	Not Found: Can possibly be found on the North China Imperial Railway	true	Lohau-chai
Longthun, Siam						GR_Siam	https://www.google.com/maps/place/+	Not found.	true	Longthun, Siam
Longxuyen, Tonkin							https://www.google.com/maps/place/+	Longxuyen is in Cochin-China, not in Tonkin	true	Longxuyen, Tonkin
Lower Perak							https://www.google.com/maps/place/+		false	Lower Perak
Nganluhfu, Hupeh							https://www.google.com/maps/place/+	not found	true	Nganluhfu, Hupeh
North China							https://www.google.com/maps/place/+	Not very specific - Coordinates possibly futile	true	North China
North Kiangsi							https://www.google.com/maps/place/+		true	North Kiangse
Northern Hunan							https://www.google.com/maps/place/+		true	Northern Hunan
Pacheo, Szechuen							https://www.google.com/maps/place/+	Somewhere in Sichuan Province (TGN: 7002087)	true	Pacheo, Szechuen
Pakeo, Chihli							https://www.google.com/maps/place/+	Somewhere in Hebei Province (TGN: 7002077); not found yet	true	Pa-keo, Chili	Pakeo, Chihli
Quananh, Tonkin							https://www.google.com/maps/place/+	Not Found	true	Quananh Tonkin
Quang Yen, Tonkin							https://www.google.com/maps/place/+	3 possibilities in North Vietnam, the largest of which is near Hai Phong, but has no TGN, (20.938379, 106.796402)	true	Quangyen, Tonkin	Quang Yen, Tonkin	Quang-yen, Tonkin	Quanyen, Tonkin
Quiapo					Point		https://www.google.com/maps/place/+	Quiapo is a district of Manila	true	Quiapo, Manila
Rajang, Sarawak	1128986	null	null	River	Polygon		https://www.google.com/maps/place/null+null	Uncertain where precisely this refers to; the river in Sarawak has a TGN, but it's not clear if it refers to Sibu, the only major settlement on the river or just the sub-region	true	Rejang, Sarawak
Rasdolnoc							https://www.google.com/maps/place/+	multiple possibilites	true	Rasdolnoc, Eastern Siberia	Rasdolnoc
Robe							https://www.google.com/maps/place/+	uncvertain, Kobe is the closest possibility	true	Robe
Sagalien	7019034	null	null	Island (landform)	Polygon		https://www.google.com/maps/place/null+null	https://en.wikipedia.org/wiki/Sakhalin	true	Sagalien	Sagalien, Siberia
Sahnynh, Annam							https://www.google.com/maps/place/+	Highly uncertain: Possibly "Sanh Ngân" (13.980695, 108.986943) or less likely some derivative of "Khe Sahn"	true	Sahnynh, Annam
Sakan, Annam							https://www.google.com/maps/place/+	Not found.	true	Sakan, Annam
Shek-hing, Kwangse							https://www.google.com/maps/place/+	Not Found (Somewhere in Guangxi Province seemingly)	true	Shek-hing, Kwangse
Siberia	7011548	null	null	General region	Polygon		https://www.google.com/maps/place/null+null	Just the General, very non-specific region	false	Siberia
Singau, Shensi							https://www.google.com/maps/place/+	Unclear: perhaps "Sigou, Shaanxi Province", TGN: 8091989; maybe "Xinangou" 8093876.	true	Singau, Shensi
Soaikieng, Cambodia							https://www.google.com/maps/place/+	Not found.	true	Soaikieng, Cambodia
Soasia, Fokien							https://www.google.com/maps/place/+	Not found: somewhere in Fujian Province (TGN: 7001796)	true	Soasia, Fokien
South Kiangse							https://www.google.com/maps/place/+	The Southern part of Jiangxi Province (TGN: 7002082)	true	South Kiangse
South Perak							https://www.google.com/maps/place/+		false	South Perak
South Tokyo						GR_Tokyo	https://www.google.com/maps/place/+		false	South Tokyo
Sumatra	7016484	null	null	Island (landform)	Polygon		https://www.google.com/maps/place/null+null		false	Sumatra	Sumtara	Sumtra
Tabewie Seoul							https://www.google.com/maps/place/+	two places	true	Tabewie Seoul
Tamhoi, Saigon							https://www.google.com/maps/place/+	two locations	true
Thongthauha, Kwangtung							https://www.google.com/maps/place/+	Not Found; Somewhere in Canton Province	true	Thongthauha, Kwangtung
Thuankhanh, Annam							https://www.google.com/maps/place/+	Highly Uncertain: Possibly referring to "Tinh Khánh Hòa" - another name for Khánh Hòa province (TGN: 7594824) - it's somehow related to this region.	true	Thuankhanh, Annam
Tremuche, Eastern Siberia							https://www.google.com/maps/place/+	Not found: Eastern Siberia is hugely expansive and this case there are no clues to help.	true	Tremuche, Eastern Siberia
Tschihin, Kwangtung							https://www.google.com/maps/place/+	Not Found: Lies somewhere in Guangdon Province (TGN: 7005232)	true	Tschihin, Kwangtung
Tschu-Thongau, Kwangtung							https://www.google.com/maps/place/+	Not Found: German Mission in Canton Province - somewhere	true	Tschu-Thongau, Kwangtung
Tsing							https://www.google.com/maps/place/+		false	Tsing
Tso-uin							https://www.google.com/maps/place/+	No TGN found.	false	Tso-uin	Tso-uin, Shanshi	Tso-uin, Shansi	Tsouin, Shansi
Tsou-p'ing-fu, Shantung							https://www.google.com/maps/place/+	Not Found; somewhere in Shandong Province	true	Tsou-p'ing-fu Shantung	Tsou-p'ing-fu, Shantung
Tsukiji, Tokyo						GR_Tokyo	https://www.google.com/maps/place/+		false	Tsukiji, Tokyo
Ulu Kelantan							https://www.google.com/maps/place/+		false	Ulu Kelantan
Umcheng, Shansi							https://www.google.com/maps/place/+	Likely refers to Yuncheng, Shanxi Province (TGN: 8678046), but quite uncertain	true	Umcheng, Shansi
Upper Perak							https://www.google.com/maps/place/+		false	Upper Perak
Van-dao, Annam							https://www.google.com/maps/place/+	Not Found.	true	Van-dao, Annam
Visayas, Philippines							https://www.google.com/maps/place/+	Precise Coordinates unavailable/impractical; Refers to a whole Archipelago in the Philippines; it's one of three main isalnd groups and includes Chebu for example	true	Visayas, Philippines
Wuhce							https://www.google.com/maps/place/+		false	Wuhce
Wusih, Ningpo							https://www.google.com/maps/place/+	Highly uncertain: could refer to "Wushi, Zhejiang Province" (TGN: 8170340), but it's not clear. It is not at all likely to be "Wuxi" in the province to the north, though it might be easy to confuse it with this.	false	Wusih, Ningpo	Wusih, Chekiang
Yberia, Philippines							https://www.google.com/maps/place/+	Not found.	true	Yberia, Philippines
