Occurence	Status	
steamer “Memnon,"	SHIP	
steamer “Si Shan,”	SHIP	
steamer “Y-	SHIP	
Suchow-fu, Szechuen	ADDED	
Süchow-fu, Szechuen	ADDED	
Sui-fu, Szechuen	ADDED	
Sungari, Manchuria	ADDED	
Sungei Ujong and Selangor	TWO PLACES	
Sungoi Ujong	ADDED	
Sunjei Ujong	ADDED	
Sur de Luzon, Philippines	ADDED	
Sutschan, Eastern Siberia	ADDED	
Swatotw	ADDED	
Swatow and Hongkong (absent)	TWO PLACES	
Swatow and Straits	TWO PLACES	
T'aian-fu, Shantung	ADDED	
T'ung-chow, Chihli	ADDED	
T’ung-chou, Chihli	ADDED	
Ta-tong-fu, Shansi	ADDED	
Tai-chow-fu, Chekiang	ADDED	
Tai-yuen-fu, Shansi	ADDED	
Taibinh, Tonkin	ADDED	
Taichow, Chekiang Province	ADDED	
Taiwanfoo	ADDED	
Taiyuen-fu, Shansi	ADDED	
Taiyuenfoo, Shansi	ADDED	
Takow and Hongkong	TWO PLACES	
Takowand Amoy	TWO PLACES	Takow and Amoy
Talisay, Isla de Negro, Philippines	ADDED	
Tamsui and Amoy	TWO PLACES	
Tan-an, Cochin-China	ADDED	
Tanan, Cochin China	ADDED	
Tangchou, Chili	ADDED	
Tao-tin-tia, South Formosa	ADDED	
Tayabas, Pilippines	ADDED	
Tayninh, Cochin-China	ADDED	
Te-gan-ton, Hupeh		couldn't be found
Teh-ngan, Hankow	ADDED	
Tengchowfoo, Shantung	ADDED	
Thái-nguyên, Tonkin	ADDED	
Thaibenh, Tonkin	ADDED	
Thaibin, Tonkin	ADDED	
Tháinguyên, Tonkin	ADDED	
Thanh Hoa, Annam	ADDED	
Thuankhanh, Annam	ADDED	
Thudaumot, Cochin China	ADDED	
Tientsin and Shanghai	TWO PLACES	
Tokushima, Japan	ADDED	
Tokuyama, Japan	ADDED	
Tokyo (absent)	PARSING ERROR	Absent needs to be removed
Toncheo district, Shensi	ADDED	
Tong-an, Fukien	ADDED	
Tong-ch'uan, Yunnan		couldn't be found
Tongcheo district, Shensi	ADDED	
Tongku, Chihli	ADDED	
Tongshan	ADDED	
Tongshan, Chihli	ADDED	
Tottori, Japan	ADDED	
Tremuche, Eastern Siberia	ADDED	
Trusan, Sarawak	ADDED	
Ts'in-cheo, Kansuh	ADDED	
Ts'ing-kiang-pu, Kiangsu	ADDED	
Ts’in-cheo, Kansuh	ADDED	
Tschu-Thongau, Kwangtung	ADDED	
Tsing-kiang-pu, Kiangsu	ADDED	
Tsingkiangpu	ADDED	
Tsiningchow	ADDED	
Tsou-p'ing-fu Shantung	ADDED	
Tsou-p'ing-fu, Shantung	ADDED	
Tsun-hwa, Chihli	ADDED	
Tumsui	ADDED	
Tungchou, Chihli	ADDED	
Tungchowfu	ADDED	
Tuyen Quang, Tonkin	ADDED	
Tuyên Quang, Tonkin	ADDED	
Tuyen-quan, Tonkin	ADDED	
Tuyen-quang, Tonkin	ADDED	
U. S. A. flagship "Olympia"	SHIP	
U. S. A. gunvessel "Petrel"	SHIP	
U. S. A. Squadron in Asia	SHIP	
U. S. cruiser "Charleston"	SHIP	
U. S. cruiser "Detroit"	SHIP	
U. S. cruiser "Yorktown"	SHIP	
U. S. flagship "Olympia"	SHIP	
U. S. gunboat "Machias"	SHIP	
U. S. S. "Charleston"	SHIP	
U. S. S. "Concord"	SHIP	
U. S. S. "Olympia"	SHIP	
U. S. S. Concord	SHIP	
U. S. S. Petrel	SHIP	
U. S. Squadron in Asia	SHIP	
U.S. cruiser "Concord"	SHIP	
U.S. cruiser "Detroit"	SHIP	
U.S. cruiser "Yorktown"	SHIP	
U.S. cruiser “Detroit”	SHIP	
U.S. cruiser “Yorktown”	SHIP	
U.S. flagship "Olympia"	SHIP	
U.S. flagship “ Olympia "	SHIP	
U.S. flagship “ Olympia ”	SHIP	
U.S. flagship “Olympia	SHIP	
U.S. gunboat "Machias"	SHIP	
U.S. gunboat "Monocacy"	SHIP	
U.S. gunboat “ Machias ”	SHIP	
U.S. gunvessel "Petrel"	SHIP	
U.S. gunvessel, "Monocacy"	SHIP	
U.S. S. "Charleston"	SHIP	
U.S. Squadron in Asia	SHIP	
U.S.A. cruiser "Detroit"	SHIP	
U.S.A. cruiser "Petrel"	SHIP	
U.S.S. "Charleston"	SHIP	
U.S.S. "Concord"	SHIP	
U.S.S. "Monocacy"	SHIP	
U.S.S. "Petrel"	SHIP	
U.S.S. “ Charleston ”	SHIP	
U.S.S. “Concord”	SHIP	
Ueda, Japan	ADDED	
Ulu Selangor	ADDED	
Undaunted	SHIP	
Usadnik	NO LOCATION	
Ussuri, Siberia	ADDED	
Vice-Admiral Commanding British Squadron	NO LOCATION	
Visayas, Philippines	ADDED	
Vladimir Monomah	SHIP	
Waicahau, Kwangsi	ADDED	
Wei-hien, Shantung	ADDED	
Wei-Hien, Shantung	ADDED	
Wenchow and Hangchow	TWO PLACES	
Wi	OCR SHORT?	
Wladivostok	ADDED	
Wladivostook	ADDED	
Wladiwostock	ADDED	
Wood	OCR ERROR	
Wusih, Chekiang	ADDED	
Wusih, Ningpo	ADDED	
Wusueh, Hankow	ADDED	
Yangtsze river	ADDED	
Yangtsze River	ADDED	
Yberia, Philippines	ADDED	
Ylanila	OCR ERROR	
Ylocos Súr, Filipinas	ADDED	
Yokohama and Kobe	TWO PLACES	
Yokohama and Kobe (absent)	TWO PLACES	
Yokohama and Tokyo	TWO PLACES	
Yokohama Tamsui	TWO PLACES	
Yokohi	OCR ERROR	
Yokon	OCR ERROR	
Yonago, Hoki, Japan	ADDED	
Yonezewa, Japan	ADDED	
Yüen-ch’eng, Shansi	ADDED	
Yüin-ch'eng, Shansi	ADDED	
Zamboanga, Philippines	ADDED	
Occurence	Status	
Manila and Iloilo	TWO PLACES	
1.1 n —	OCR ERROR	
H.I.G.M.S. "Deutschland"	SHIP	
Yokohama and Kobe	TWO PLACES	
A	OCR SHORT?	
Ai	OCR SHORT?	
aide-de-camp to the French Admiral	NO LOCATION	
Alacao	OCR ERROR	
Am	OCR SHORT?	
Amoy it Tamsui	TWO PLACES	
Amur	ADDED	New Place
Amur, Siberia	ADDED	New Place
and Chungking	TWO PLACES	
Andien, Annam	ADDED	
H.B.M.S. "Daphne"	SHIP	
Anhwei	ADDED	New Place
Annum	ADDED	
Anpoa, Fokien	ADDED	
Anshu, North China	ADDED	
Aoyama, Japan	ADDED	New Place
Baclien, Cochinchine	ADDED	New Place
Baclieu, Cochin-China	ADDED	New Place
French gunboat "Caravane"	SHIP	
Baclieu, Cochinchine	ADDED	New Place
Bacninh, Tonkin	ADDED	
Balanga, Philippines,	ADDED	New Place
Balek Pulau, Penang	ADDED	
Banam, Cochin China	ADDED	
H.B.M.S. "Hermione"	SHIP	
French cruiser  Duguay-Trouin ”	SHIP	
Bangkok.	ADDED	
Banplasoi, Siam	ADDED	
Banxang, Siam	ADDED	New Place
Baoha, Tonkin	ADDED	
Hongkong and Manila	TWO PLACES	
H.B.M.S. "Centurion"	SHIP	
H.B.M.S. "Victorious"	SHIP	
French gunboat “Lion”	SHIP	
Baria, Cochin-China	ADDED	New Place
Bassac, Cochin China	NO LOCATION	
Batang Padang, Perak	ADDED	
Hongkong and Calcutta	TWO PLACES	
Battambang, Siam	ADDED	
Batu Gajah, Perak	ADDED	New Place
Batu-Gajah, Perak	ADDED	New Place
Bentré, Cochin-china	ADDED	New Place: Bentré
Bentré, Cochin-China	ADDED	New Place: Bentré
Bentre, Cochinchine	ADDED	
Kobe and Nagasaki	TWO PLACES	
Bentré, Cochinchine	ADDED	
Bienhoa, Cochinchine	ADDED	
Bindinh, Tonkin	ADDED	
Binhdinh, Annam	ADDED	
Binhphu, Annam	ADDED	
Hongkong and Japan	TWO PLACES	
bishop of Cebu	NO LOCATION	
Blagowestschensk, Siberia	ADDED	New Place
Blagowestshensk, Eastern Siberia	ADDED	New Place
H.B.M.S. "Barfleur"	SHIP	
Bongmieu, Annam	ADDED	
Brennw.	NO LOCATION	
China Coast	NO LOCATION	
Buichu, Tonkin	ADDED	
Bureau Mili	NO LOCATION	
Cabagan, Philippines	ADDED	
H. B. M. S. "Phœnix"	SHIP	
H.B.M.S. "Undaunted"	SHIP	
H.B.M.S. "Linnet"	SHIP	
U.S.A. cruiser "Boston"	SHIP	
Cagayan, Philippine	ADDED	
Calbayog, Manila	TWO PLACES	
Cambodia	ADDED	
Camboge	ADDED	
Cantho, Cochin China	ADDED	
Cantho, Cochinchine	ADDED	
Hongkong and Macao	TWO PLACES	
Canton anti Macao	TWO PLACES	
Canton river	NO ABODE	
Cantor	ADDED	
Shanghai and Hankow	TWO PLACES	
Caoayan, Philippines	ADDED	
Caobang, Tonkin	ADDED	
Canton and Macao	TWO PLACES	
Kuchai and Sungei Getali	TWO PLACES	
Cap St. Jaques, Cochinchine	ADDED	New Place
Cap St. Jaques, Conchinchine	ADDED	New Place
Cap. St. Jaques, Cochin Cnine	ADDED	New Place
Cap. St. Jaques, Cochinchine	ADDED	New Place
U.S.A. cruiser “Baltimore”	SHIP	
Carlatan, Philippines	ADDED	
Carnbodge	ADDED	
Catedral de Cebu	NO LOCATION	
H. B. M. S. "Centurion"	SHIP	
Cc	OCR SHORT?	
Cebú	ADDED	
H. B. M. S. "Narcissus"	SHIP	
Cébu	ADDED	
Cebu, Philippines	ADDED	
Cebú, Philippines	ADDED	
Cebu, Phillippines	ADDED	
Cercle de Langson, Tonkin	ADDED	
Ch'ing-chowfu, Shantung	ADDED	
Messageries Maritimes steamer "Eridan,"	SHIP	
H.B.M.S. “ Immortalité ”	SHIP	
H.B.M.S. “Undaunted”	SHIP	
Chaudoc, Cochinchine	ADDED	
Chehkiang	ADDED	
Chekiang	ADDED	
H.I.G.M.S. "Irene"	SHIP	
H.B.M.S. “ Barfleur”	SHIP	
H.B.M.S. "Whiting"	SHIP	
Chekiang Province	ADDED	
Chemulpo Corea	ADDED	
steamer "Hailan,"	SHIP	
Hongkong and Haiphong	TWO PLACES	
Chemulpo, Corea	ADDED	
H.I.G.M.S. "Prinzess Wilhelm"	SHIP	
Chemuplo, Corea	ADDED	
H.B.M.S. "Powerful"	SHIP	
H.B.M.S. "Narcissus"	SHIP	
U.S.A. monitor "Monterey"	SHIP	
Chengku, Shensi	ADDED	
H.B.M.S. "Immortalité"	SHIP	
Chengtu, Szechuen	ADDED	
Chentu, Szechuen	ADDED	
Chéntu, Szechuen	ADDED	
Cheo-kia-keo, Kangsu	TWO PLACES	
Cheokiakeo, Hona	ADDED	New Place
steamer "Lightning,"	SHIP	
Cheokiakeo, Honam	ADDED	New Place
H.B.M.S. "Bonaventure"	SHIP	
Cheokiako, Honan	ADDED	New Place
Chernigowka, Eastern Siberia	ADDED	
Chiangchew, Fokien	ADDED	
Chiangmai, Siam	ADDED	
Chichow, Chihli	ADDED	
Chienghoi, Siam	TWO PLACES	
Chihli	ADDED	
Chili	ADDED	
gunboat "Sivoutch,"	SHIP	
China coast	NO LOCATION	
U.S.A. flagship "Olympia"	SHIP	
Chinanfoo, Shangtung	ADDED	
Chinchow, Manchuria	ADDED	
Chinghwa	ADDED	
French gunboat "Lion’	SHIP	
Amoy and Tamsui	TWO PLACES	
Chingmai, Siam	ADDED	
Cholon, Cochinchina	ADDED	
H.B.M.S. "lphigeina"	SHIP	
Cholon, Cochinchine	ADDED	
Cholon, Saigon	ADDED	
Hongkong and Canton	TWO PLACES	
Chongtshun, Kwangtung	ADDED	
Chucheo, Chekiang	ADDED	
U.S.A. cruiser "Monocacy"	SHIP	
Chuchow-fu	ADDED	
Chugking	ADDED	
Chuki, Mid-China	ADDED	
H.B.M. gunboat "Peacock"	SHIP	
Chukshan, Kwangsi	ADDED	
Chungkiang	ADDED	New Place
Chungkin	ADDED	
Nagasaki and Kobe	TWO PLACES	
Kobe and Yokohama	TWO PLACES	
Cobagan, Philippines	ADDED	
Cochin China	ADDED	New Place
Cochin-China	ADDED	New Place
French cruiser "Descartes"	SHIP	
Cochinchina	ADDED	New Place
Cochinchine	ADDED	New Place
Penang and Perak	TWO PLACES	
Corea	ADDED	
Cua-vist, Annam	ADDED	
steamer “Ask,”	SHIP	
U.S.A. cruiser "Charleston"	SHIP	
Cuatung, Annam	ADDED	
Cumong, Annam	ADDED	
H.I.G.M.S. "Cormoran"	SHIP	
Dapcau, Tonkin	ADDED	
Donkabuang, Siam	ADDED	
Russian gunvessel "Bobr"	SHIP	
Donkho, Laos	ADDED	
East Kiangse	ADDED	
H.B.M.S. "Rattler"	SHIP	
Eastern Sib	ADDED	
Eastern Siberia	ADDED	
Etajima-Aki, Japan	ADDED	
Faifo, Annam	ADDED	
French gunboat "Lion"	SHIP	
Fokien	ADDED	
Fooeh	OCR ERROR	
French Asiatic Squadron	NO ABODE	
French missionary Peking	NO LOCATION	
Fukuoka, Japan	ADDED	
Fúkuoka, Japan	ADDED	
Fukwing, Kwangtung	ADDED	
French gunboat "Surprise"	SHIP	
Shanghai and Hongkong	TWO PLACES	
Fumui, Kwangtung	OCR ERROR	
Funabashi, Chiba, Japan	ADDED	
Fusan, Corea	ADDED	
Gaols, Perak	ADDED	
Gebu	ADDED	
Gensan	ADDED	
Gensan, Corea	ADDED	
Gocong, Cochinchine	ADDED	
Governor of Hongkong	NO LOCATION	
H. R. M. Squadron	NO ABODE	
H.B.M. Squadron	NO ABODE	
H.l	OCR SHORT?	
French flagship "Vauban"	SHIP	
French cruiser, "Pascal"	SHIP	
Habarofsk, Siberia	ADDED	
Hagiang, Tonkin	ADDED	
H.I.G.S. "Cormoran"	SHIP	
Haichêng, Manchuria	ADDED	
Haiduong, Tonkin	ADDED	
Hongkong and Bangkok	TWO PLACES	
Hongkong and North Borneo	TWO PLACES	
Haininh, Tonkin	ADDED	
Hakodate, Japan	ADDED	
Hanam, Tonkin	ADDED	
“ Kiang-foo,”	SHIP	
H.B.M.S. "Plover"	SHIP	
Hanchong, Shensi	ADDED	
Hanhong, Shensi	ADDED	
Penang and Singapore	TWO PLACES	
Hankow an 1 Shanghai	TWO PLACES	
H.B.M. gunboat "Pigmy"	SHIP	
U.S.A. cruiser "Baltimore"	SHIP	
Hanoi Hotel	NO LOCATION	
Hanyang	ADDED	
Hanyang, Hupeh	ADDED	
Hatien, Cochinchine	ADDED	
U.S.A. gunboat "Concord"	SHIP	
Hatinh, Annam	ADDED	
Hiaokan	ADDED	
H.B.M.S. "Grafton"	SHIP	
Rajah of Sarawak	NO LOCATION	
str. "Phra Chula Chom Klao,"	SHIP	
Hiephoa, Annam	ADDED	
Hinnen Kwangtung	ADDED	
Hiogo	ADDED	New Place
Hiroshima	ADDED	New Place
Hiroshima, Japan	ADDED	New Place
Ho-shi-tun	ADDED	
Ho-tsin, Shansi	ADDED	
U.S.A. gunboat "Petrel"	SHIP	
Yokoham i and Kobo	TWO PLACES	
U.S.A. Squadron	NO ABODE	
H.I.G.M.S. "Kaiser"	SHIP	
Hoabinh, Tonkin	ADDED	
Hochau, Shansi	ADDED	
Hodo, Annam	ADDED	
H.I.M.S. “Kaiserin Augusta”	SHIP	
Hoil	OCR SHORT?	
Hoiliow	ADDED	
Hokshuha, Kwangtung	ADDED	
Hon	OCR SHORT?	
Vice-Admiral Commanding British Squadron	NO LOCATION	
Honai	ADDED	
H. I. G. M. S. "Irene"	SHIP	
Shanghai and Tientsin	TWO PLACES	
U.S.A. monitor "Monadnock"	SHIP	
Honan	ADDED	
Honecohé, Annam	ADDED	
Hong Yen, Tonkin	ADDED	
Hongay	ADDED	
Hongay, Tonkin	ADDED	
Honghoa, Tonkin	ADDED	
U.S.A. Naval Squadron	NO ABODE	
Hongk	OCR SHORT?	
Hongkog	ADDED	
steamer "Irene,"	SHIP	
steamer "Mongkut"	SHIP	
Hongkong it Canton	TWO PLACES	
steamer “ Chw’n-shan,”	SHIP	
Hongkong-Singapore battalion Royal Artillery	NO LOCATION	
Hongyen, Tonkin	ADDED	
Honkgong	ADDED	
Honkong	ADDED	
Shanghai and Kewkiang	TWO PLACES	
Hsiao Ihsien, Shansi	ADDED	
Hsincheo, Shansi	ADDED	
Hsingsi, Kueichow Province	ADDED	
Hsjnyang, Manchuria	ADDED	
Huaphai, Siam	ADDED	
Hué	ADDED	
H.B.M.S. "Phoenix"	SHIP	
Hué, Annam	ADDED	
Huiwa, Fokien	ADDED	
Hunan	ADDED	
Hung-hoa, Tonkin	ADDED	
Hunghao, Tonkin	ADDED	
Hunghoa, Tonkin	ADDED	
Hupeh	ADDED	
i	OCR ERROR	
French gunboat "Aspic"	SHIP	
H.B.M.S. "Iphigenia"	SHIP	
H.B.M. gunboat "Esk"	SHIP	
Ichowfu, Shantung	ADDED	
Ilioilo	ADDED	
Imperial Chinese Post-Offic	NO LOCATION	
Iriga, Phillipines	ADDED	
H.B.M.S. "Alacrity"	SHIP	
Singapore and Periling	TWO PLACES	
Singapore and Penang	TWO PLACES	
Isabela de Luzon	ADDED	
Iwane-machi, Japan	ADDED	
French cruiser "Jean-Bart"	SHIP	
Jap	OCR SHORT?	
Japan	ADDED	
Jasin Malacca	ADDED	
steamer "Hsin-chi,"	SHIP	
Jelebu	ADDED	
Joh	OCR SHORT?	
K'u-hsien, Szechuen	ADDED	
K'ü-hsien, Szechuen	ADDED	
Kagoshima, Japan	ADDED	
P. & O. S. N. Co. steamer “ Rohilla,”	SHIP	
H.B.M.S. “ Undaunted”	SHIP	
Kaiping	ADDED	
French cruiser "Pascal"	SHIP	
Kalgan	ADDED	
Kalgan, Chihli	ADDED	
Kampong, Cambodge	ADDED	
Kampot, Cambodge	ADDED	
H.B.M.S. "Phœnix"	SHIP	
Kampot, Cochin-China	ADDED	
Kanazawa, Japan	ADDED	
Kang Boe, Fokien	ADDED	
H.B.M.S., "Alacrity"	SHIP	
Kanowit, Sarawak	ADDED	
H.B.M.S. "Barflenr"	SHIP	
U.S.A. flagship “ Olympia	SHIP	
Kansuh	ADDED	
Kansuli	ADDED	
H.B.M.S. "Algerine"	SHIP	
Singapore and Johore	TWO PLACES	
Kayingchow, Kwangtung	ADDED	
Kayuen, Manchuria	ADDED	
Kayuen, North China	ADDED	
Kê-roy, Tonkin Septentrional	ADDED	
Késó, Tonkin	ADDED	
Kewkiang	ADDED	
Shanghai and Hankow'	TWO PLACES	
Kewkiaug	ADDED	
Kewkinag	ADDED	
Khanh-hoi, Cochinchine	ADDED	
Khanhoi, Cochinchine	ADDED	
Khone, Láos, Cochinchine	ADDED	
Khong, Cochin China	ADDED	
H.B.M. gunboat “Plover”	SHIP	
Khong, Cochinchina	ADDED	
Kia-ting-fu, Szechuen	ADDED	
Kiaisiu, Shansi	ADDED	
H. B. M. S. torpedo boat destroyer "Whiting"	SHIP	
steamer "Hinsang,"	SHIP	
Kiangsee Liki	ADDED	
H.B.M,S. "Victorious"	SHIP	
Kiangsi	ADDED	
French steamer "Hanoi,"	SHIP	
Kiangsu	ADDED	
Kiao-chow	ADDED	
Kiaochau	ADDED	
Kiaochou	ADDED	
Kiaochow	ADDED	
Kimbong, Annam	ADDED	
Kingsh	OCR SHORT?	
H.B.M.S. "Archer"	SHIP	
H.B.M. Receiving Ship "Tamar"	SHIP	
Kinhwa, Ningpo	TWO PLACES	
Hanoi and Namdinh	TWO PLACES	
Shanghai and Chinkiang	TWO PLACES	
H.B.M.S. "Humber"	SHIP	
Kinta, Perak	ADDED	
U.S. flagship "Olympia"	SHIP	
Kirim, Manchuria	ADDED	
Kirin, Manchuria	ADDED	
Klang, Selanger	ADDED	
Klang, Selangor	ADDED	
Ko-chau, Kwangse	ADDED	
Kobe & Yokohama	TWO PLACES	
H. I. German M. S. "Kaiser"	SHIP	
Kochi, Japan	ADDED	
Koke	ADDED	
Russian flagship "Rossia"	SHIP	
Kompong chuan, Cambodge	ADDED	
Kompong Thom, Cambodge	ADDED	
Kompong-thom, Cambodge	ADDED	
Korat, Siam	ADDED	
Kowloon, Hongkong	ADDED	
Kratie, Cambodge	ADDED	
Kratie, Cochinchine	ADDED	
Krauchmar, Cochin-China	ADDED	
Krian District, Perak	ADDED	
Krian, Perak	ADDED	
Ksuhan Province	ADDED	
Kuan-hsien, Szechuen	ADDED	
H.B.M.S. gunboat "Redpole"	SHIP	
U. S. A. flagship "Olympia"	SHIP	
Kuanhsien, Szechuen	ADDED	
Kuantan, Pahang	ADDED	
Kucheo, Chekiang	ADDED	
Kuching, Sarawak	ADDED	
steamer "Heungshan"	SHIP	
steamer "Kiangteen,"	SHIP	
H.B.M. gunboat "Redpole"	SHIP	
Kudat, British North Berneo	ADDED	
Kueichow	ADDED	
H.I.G.M.S. "Kaiserin Augusta"	SHIP	
Kueiyang, Kueichow	ADDED	
Osaka and Kobe	TWO PLACES	
U. S. A. cruiser "Monocacy"	SHIP	
Kuhlong, Cochin-China	OCR ERROR	
H. B. M. S. "Powerful"	SHIP	
H.I.G.M.S. "Gefion"	SHIP	
Kuhwu, Shansi	ADDED	
Kumamoto, Japan	ADDED	
Kwailam, West River	ADDED	
Kwala Kangsa, Perak	ADDED	
French cruiser "Jean Bart"	SHIP	
Kwala Langat, Selangor	ADDED	
Kwala Lumpur	ADDED	
Kwala Lumpur, Selangor	ADDED	
Kwala Selangor	ADDED	
U. S. A. gunboat "Concord"	SHIP	
steamer "Siam"	SHIP	
steamer "Yuensang"	SHIP	
Kwala Selangor, Selangor	ADDED	
Kwangchi	ADDED	
Kwangse	ADDED	
Kwangsi	ADDED	
Swatow and Straits	TWO PLACES	
Kwangtung	ADDED	
H. B. M. S. "Barfleur"	SHIP	
steamer "Sungkiang"	SHIP	
Iloilo and Cebu	TWO PLACES	
Kweichow	ADDED	
H. I. German M. S. "Kaiserin Augusta"	SHIP	
U. S. A. monitor "Monadnock"	SHIP	
Lagan, Annam	ADDED	
Lakawn, Siam	ADDED	
steamer "Yuenwo,"	SHIP	
Lam, Tonkin	ADDED	
Lampilao, Fokien	ADDED	
Lancheo, Kansuh	ADDED	
H. I. G. M. S. "Prinzess Wilhelm"	SHIP	
H.B.M. Flagship "Centurion"	SHIP	
Langson	ADDED	
French cruiser "Duguay-Trouin"	SHIP	
Langson, Tonkin	ADDED	
Lao-ho-keo, Hupeh	ADDED	
U.S.A. flagship “Olympia”	SHIP	
Laobrang, Thibet	ADDED	
Laohokeo, Hupeh	ADDED	
Laokay, Tonkin	ADDED	
H.I.G.M.S. "Arcona"	SHIP	
Laos, Annam	TWO PLACES	
Laos, Cochinchine	TWO PLACES	
Lappa, Macao	ADDED	
Larut, Perak	ADDED	
H. B. M. S. "Archer"	SHIP	
Canton and Hongkong	TWO PLACES	
Lateng, West River	ADDED	
Governor of Macao and Portuguese Minister to China and Siam	NO LOCATION	
lchang	ADDED	
China and Hongkong	TWO PLACES	
Macao and Canton	TWO PLACES	
Leite, Philippines	ADDED	
Hongkong and T	TWO PLACES	
Hankow and Shanghai	TWO PLACES	
Liang-cheo, Kansuh	ADDED	
Liangcheo, Kansuh	ADDED	
Lianghsian-hsien, North China	ADDED	
Liaoyang, Manchuria	ADDED	
Liaoyang, North China	ADDED	
Lieutenant-Governeur <le Cambodge	PARSING ERROR	
H.B.M. torpedo boat destroyer "Fame"	SHIP	
Lilong, Kwangtung	ADDED	
Yokohama and Nagasaki	TWO PLACES	
Shanghai and Tientsin.	TWO PLACES	
Linliho	OCR ERROR	
Liu Kung Tan, Weihaiwei	ADDED	
Lohau-chai	ADDED	
Longchuen, Chehkiang	ADDED	
Longchuen, Chekiang	ADDED	
Longheu, Kwangtung	ADDED	
Longheü, Kwangtung	ADDED	
H.B.M.S., "Hermione"	SHIP	
Longthun, Siam	ADDED	
Longxuyen, Cochin China	ADDED	
H.l.G.M.S. "Deutschland"	SHIP	
Longxuyen, Cochin-China	ADDED	
Longxuyen, Cochinchine	ADDED	
Lucheng, Shanshe	ADDED	
Lucheo, Szechuen	ADDED	
Lukouchiao, Tientsin	ADDED	
H.I.G.M.S. “Kaiser”	SHIP	
Lunganfu, Shansi	ADDED	
steamer "Deucalion,"	SHIP	
steamer "Diamante"	SHIP	
U.S.A. cruiser “ Boston ”	SHIP	
Macáo	ADDED	
Russian cruiser "Pamiat Azova"	SHIP	
Mainla	ADDED	
Malay Peninsula	ADDED	
steamer "Hongkong,"	SHIP	
Singapore and Malacca	TWO PLACES	
H.I.G.M.S. “ Kaiserin Augusta ”	SHIP	
H.I.M.G.S. "Kaiserin Augusta"	SHIP	
Malay States Guides	NO LOCATION	
Manchuria	ADDED	
Maritime Customs (absent)	PARSING ERROR	
Matang, Perak	ADDED	
Matsue, Japan	ADDED	
H.B.M.S. “Victorious”	SHIP	
French cruiser, "Duguay-Trouin"	SHIP	
Matsuyama, Japan	ADDED	
H.B.M. flagship "Centurion"	SHIP	
French gunboat “ Lion ”	SHIP	
Mêngtsz	ADDED	
Mengtszu	ADDED	
Mengtzu	ADDED	
Miyazaki, Japan	ADDED	
H.B.M.S. torpedo destroyer "Fame"	SHIP	
H.B.M.S. “Powerful”	SHIP	
Moilim, Kwangtung	ADDED	
U. S. A. refrigerating ship, "Culgoa"	SHIP	
Moilin, Kwangtung	ADDED	
Mokpo, Corea	ADDED	
Molim, Kwangtung	ADDED	
Russian cruiser "Rurik"	SHIP	
Mongolia	ADDED	
Moukden, Manchuria	ADDED	
Mui-ngoc, Tonkin	ADDED	
Mytho, Cochinchine	ADDED	
Nagoya, Japan	ADDED	
Naiguilian, Philippines	ADDED	
Nakatsu, Japan	ADDED	
Namdinh, Tonkin	ADDED	
Namhyung, Kwangtung	ADDED	
H. I. G. M. S., "Kaiserin Augusta"	SHIP	
Haiphong and Hanoi	TWO PLACES	
Manila and Cebu	TWO PLACES	
Nanchanfu, Kiangsi	ADDED	
Nandinh, Tonkin	ADDED	
H.I.G.M.S "Kaiser"	SHIP	
Naniwa Jogakko, Japan	ADDED	
H.M.B.S. "Victorious"	SHIP	
Nantziang, Kiangsu	ADDED	
Newchang	ADDED	
Newcliwang	ADDED	
Newehwang	ADDED	
Ngankin	ADDED	
H. B. M’s torpedo boat destroyer "Handy"	SHIP	
Nganking	ADDED	
British flagship, "Barfleur"	SHIP	
U.S.A. collier, "Nanshan"	SHIP	
steamer "Feiching"	SHIP	
H.I.G.M.S. “ Deutschland”	SHIP	
Nganluhfu, Hupeh	ADDED	
H.l.G.M.S. "Kaiser"	SHIP	
Icliang and Shasi	TWO PLACES	
Nghean, Annam	ADDED	
U.S.A. cruiser, "Baltimore"	SHIP	
Ngoeduong, Tonkin	ADDED	
Nhatrang, Annam	ADDED	New Place
H.B.M.S. “ Bonaventure ”	SHIP	
Nhatrang, Tonkin	ADDED	New Place
Nibong Tebal, Province Wellesley South	ADDED	
Nicolajewsk, Eastern Siberia	ADDED	
Nicolsk, Siberia	ADDED	
Niigata	ADDED	
Niigata, Japan	ADDED	
Nikolsk, Eastern Siberia	ADDED	New Place
Nikolsk, Siberia	ADDED	New Place
Ninghai. Chehkiang	ADDED	
Ninh-hoa, Annam	ADDED	
Ninhbinh, Tonkin	ADDED	
Ninhcuong, Tonkin Central	ADDED	
Ninhdinh, Tonkin	ADDED	
North China	ADDED	
North Kiangse	ADDED	
Northern Hunan	ADDED	
Russian torpedo cruiser, "Usadenik"	SHIP	
Novokiefsh, Siberia	ADDED	
U. S. A. cruiser “ Charleston ”	SHIP	
