Admiral’s Staff U.S. Squadron	Admiral’s Staff U.S. Squadron
Alger	Alger
Archer	Archer
Arcona	Arcona
Centurion	Centurion
Charleston	Charleston
Concord	Concord
E. E. A. & C. Telegraph Co.’s S	E. E. A. & C. Telegraph Co.’s S
E. E. A. & C. Telegraph Co.’s steamer	E. E. A. & C. Telegraph Co.’s steamer
Edgar	Edgar
Emperor Nicolas ”	Emperor Nicolas ”
Forfait	Forfait
French Flagship "Bayard"	French Flagship "Bayard"	French flagship "Bayard"	French flagship “Bayard”
French cruiser "Alger"	French cruiser "Alger"	French cruiser “Alger”
French cruiser "Duguay-Trouin"	French cruiser "Duguay-Trouin"
French cruiser "Forfait"	French cruiser "Forfait"	French cruiser “Forfait”
French cruiser "Isly"	French cruiser "Isly"
French cruiser “ Duguay-Trouin ”	French cruiser “ Duguay-Trouin ”
French cruiser “Isly ”	French cruiser “Isly ”
French gunboat "Comète"	French gunboat "Comète"
French gunboat "Inconstant"	French gunboat "Inconstant"	French gunboat “Inconstant”
French gunboat "Lion"	French gunboat "Lion"	French gunboat “Lion”
French gunboat "Lutin"	French gunboat "Lutin"	French gunboat, "Lutin"
H, I. German M’s flagshinp "Kaiser"	H, I. German M’s flagshinp "Kaiser"	H. I. German M’s flagship "Kaiser"	H. I. German M’s. flagship "Kaiser"	H. I. German M’s. flagship “Kaiser”	H.I. German M. flagship "Kaiser"
H. B. M	H. B. M
H. B. M. S "Pigmy"	H. B. M. S "Pigmy"	H. B. M. S. "Pigmy"
H. B. M. S. "Alacrity"	H. B. M. S. "Alacrity"
H. B. M. S. "Archer"	H. B. M. S. "Archer"
H. B. M. S. "Centurion"	H. B. M. S. "Centurion"	H. B. M. S. “Centurion”
H. B. M. S. "Daphne"	H. B. M. S. "Daphne"
H. B. M. S. "Edgar"	H. B. M. S. "Edgar"
H. B. M. S. "Esk"	H. B. M. S. "Esk"
H. B. M. S. "Firebrand"	H. B. M. S. "Firebrand"
H. B. M. S. "Humber"	H. B. M. S. "Humber"
H. B. M. S. "Linnet"	H. B. M. S. "Linnet"
H. B. M. S. "Peacock"	H. B. M. S. "Peacock"
H. B. M. S. "Pique"	H. B. M. S. "Pique"
H. B. M. S. "Plover"	H. B. M. S. "Plover"
H. B. M. S. "Porpoise"	H. B. M. S. "Porpoise"	H. B. M. S. “Porpoise”
H. B. M. S. "Rainbow"	H. B. M. S. "Rainbow"
H. B. M. S. "Rattler"	H. B. M. S. "Rattler"
H. B. M. S. "Redpole"	H. B. M. S. "Redpole"
H. B. M. S. "Spartan"	H. B. M. S. "Spartan"
H. B. M. S. "Swift"	H. B. M. S. "Swift"
H. B. M. S. "Undaunted"	H. B. M. S. "Undaunted"	H. B. M. S. “Undaunted”
H. B. M. S. "Victor Emanuel"	H. B. M. S. "Victor Emanuel"
H. B. M. S. "Æolus"	H. B. M. S. "Æolus"
H. B. M. S. “	H. B. M. S. “
H. B. M. S. “ Alacrity ”	H. B. M. S. “ Alacrity ”
H. B. M. S. “ Edgar ”	H. B. M. S. “ Edgar ”	H. B. M. S. “Edgar”
H. B. M. S. “ Linnet ”	H. B. M. S. “ Linnet ”
H. B. M. S. “ Spartan ”	H. B. M. S. “ Spartan ”
H. B. M. S. “ ltedpole ”	H. B. M. S. “ ltedpole ”
H. B. M. S. “Esk”	H. B. M. S. “Esk”
H. B. M. cruiser "Edgar"	H. B. M. cruiser "Edgar"
H. B. M. despatch vessel "Alacrity"	H. B. M. despatch vessel "Alacrity"	H. B. M. S. despatch vessel "Alacrity"	H. M. S. despatch vessel "Alacrity"
H. B. M. gunboat, "Firebrand"	H. B. M. gunboat, "Firebrand"
H. I. G. M. flagship "Kaiser"	H. I. G. M. flagship "Kaiser"	H. I. G. M’s. flagship "Kaiser"
H. I. G. M. gunboat "Iltis"	H. I. G. M. gunboat "Iltis"
H. I. German M. S. "Arcona"	H. I. German M. S. "Arcona"	H.I. German M.S. "Arcona"
H. I. German M. S. "Cormoran"	H. I. German M. S. "Cormoran"	H. I. German M.S. "Cormoran"	H.I. German M.S. "Cormoran"
H. I. German M. S. "Irene"	H. I. German M. S. "Irene"	H. I. German M.S. "Irene"	H.I. German M.S. "Irene"
H. I. German M. S. "Prinzess Wilhelm"	H. I. German M. S. "Prinzess Wilhelm"	H. I. German M. S. “Prinzess Wilhelm ”	H. I. German M. S. “Prinzess Wilhelm”	H.I. German M. S. "Prinzess Wilhelm"
H. I. German M. S. “ Arcona ”	H. I. German M. S. “ Arcona ”
H. I. German M. S. “ Irene ”	H. I. German M. S. “ Irene ”
H. I. German M. S. “ Prinzess Wilhelm ”	H. I. German M. S. “ Prinzess Wilhelm ”
H. I. German M. gunboat "Iltis"	H. I. German M. gunboat "Iltis"	H. I. German M. gunboat "lltis"	H. I. German M’s. gunboat, "Iltis"
H. I. German flagship "Kaiser"	H. I. German flagship "Kaiser"	H. I. German M. flagship "Kaiser"	H. I. German M.'s flagship "Kaiser"	H. I. German M's. flag ship "Kaiser"	H. I. German M's. flagship "Kaiser"
H. M. S. "Archer"	H. M. S. "Archer"
H. M. S. "Centurion"	H. M. S. "Centurion"
H. M. S. "Edgar"	H. M. S. "Edgar"
H.B. M. S. “Redpole”	H.B. M. S. “Redpole”
H.B.M. cruiser "Linnet"	H.B.M. cruiser "Linnet"
H.B.M. cruiser "Rattler"	H.B.M. cruiser "Rattler"
H.B.M. gunboat "Firebrand"	H.B.M. gunboat "Firebrand"
H.B.M. gunboat "Pigmy"	H.B.M. gunboat "Pigmy"
H.B.M.S. "Centurion"	H.B.M.S. "Centurion"
H.B.M.S. "Edgar"	H.B.M.S. "Edgar"
H.B.M.S. "Esk"	H.B.M.S. "Esk"
H.B.M.S. "Firebrand"	H.B.M.S. "Firebrand"
H.B.M.S. "Peacock"	H.B.M.S. "Peacock"
H.B.M.S. "Pigmy"	H.B.M.S. "Pigmy"
H.B.M.S. "Pique"	H.B.M.S. "Pique"
H.B.M.S. "Plover"	H.B.M.S. "Plover"
H.B.M.S. "Porpoise"	H.B.M.S. "Porpoise"
H.B.M.S. "Rainbow"	H.B.M.S. "Rainbow"
H.B.M.S. "Rattler"	H.B.M.S. "Rattler"
H.B.M.S. "Redpole"	H.B.M.S. "Redpole"
H.B.M.S. "Spartan"	H.B.M.S. "Spartan"
H.B.M.S. "Swift"	H.B.M.S. "Swift"	H.B.M.S., "Swift"
H.B.M.S. "Undaunted"	H.B.M.S. "Undaunted"
H.B.M.S. "Victor Emanuel"	H.B.M.S. "Victor Emanuel"
H.B.M.S. "Æolus"	H.B.M.S. "Æolus"
H.B.M.S. “ Pique ”	H.B.M.S. “ Pique ”
H.B.M.S. “ Rainbow ”	H.B.M.S. “ Rainbow ”
H.B.M.S. “Porpoise”	H.B.M.S. “Porpoise”
H.B.M.S. “Undaunted”	H.B.M.S. “Undaunted”
H.E.M.S. “	H.E.M.S. “
H.I. German M.S. “ Arcona”	H.I. German M.S. “ Arcona”
H.I.G.M. flagship "Kaiser"	H.I.G.M. flagship "Kaiser"
H.M.S. "Plover"	H.M.S. "Plover"
Hutchison	Hutchison
Irene	Irene
Isly	Isly
M. M. steamer "Tamise,"	M. M. steamer "Tamise,"
M. M. steamer “ Aréthuse," Saigon and Haiphong	M. M. steamer “ Aréthuse," Saigon and Haiphong
Monocacy	Monocacy
Olympia	Olympia
P. & O. S. N. Co.'s "Verona,"	P. & O. S. N. Co.'s "Verona,"
P. & O. S. N. Co.'s steamer "Ancona"	P. & O. S. N. Co.'s steamer "Ancona"
Peacock	Peacock
Petrel	Petrel
Porpoise	Porpoise
Prinzess Wilhelm	Prinzess Wilhelm
Rainbow	Rainbow
Redpole	Redpole
Russian cruiser "Admiral Nahimoff"	Russian cruiser "Admiral Nahimoff"
Russian cruiser "Dmitry-Donskoy"	Russian cruiser "Dmitry-Donskoy"	Russian cruiser, "Dmitry-Donskoy"
Russian cruiser "Kreyser"	Russian cruiser "Kreyser"
Russian cruiser "Pamiat Azova"	Russian cruiser "Pamiat Azova"
Russian cruiser "Rurik"	Russian cruiser "Rurik"
Russian cruiser "Vladimir Monomah"	Russian cruiser "Vladimir Monomah"
Russian cruiser "Zabiaka"	Russian cruiser "Zabiaka"	Russian cruiser, "Zabiaka"
Russian cruiser “ Gaidamak ”	Russian cruiser “ Gaidamak ”
Russian cruiser “ Pamiat-Azova”	Russian cruiser “ Pamiat-Azova”
Russian cruiser, "Admiral Kormiloff"	Russian cruiser, "Admiral Kormiloff"	Russian cruiser, "Admiral Korniloff"
Russian gun vessel "Gremiatshy"	Russian gun vessel "Gremiatshy"
Russian gun vessel "Otvajny"	Russian gun vessel "Otvajny"	Russian gunvessel "Otvajny"
Russian gun-vessel, "Mandjour"	Russian gun-vessel, "Mandjour"	Russian gunvessel "Mandjour"
Russian gunvessel "Bobr"	Russian gunvessel "Bobr"
Russian gunvessel "Groziastchy"	Russian gunvessel "Groziastchy"
Russian gunvessel "Koreyetz"	Russian gunvessel "Koreyetz"
Russian gunvessel "Sivoutch"	Russian gunvessel "Sivoutch"
Russian gunvessel “ Gremiatshy ”	Russian gunvessel “ Gremiatshy ”
Russian ironclad "Emperor Nicolas"	Russian ironclad "Emperor Nicolas"
Russian torpedo cruiser “ Vsadnik ”	Russian torpedo cruiser “ Vsadnik ”
Spartan	Spartan
U. S. A. Squadron in Asia	U. S. A. Squadron in Asia
U. S. A. flagship "Olympia"	U. S. A. flagship "Olympia"
U. S. A. gunvessel "Petrel"	U. S. A. gunvessel "Petrel"
U. S. S. "Charleston"	U. S. S. "Charleston"	U.S. S. "Charleston"	U.S.S. "Charleston"
U. S. S. "Concord"	U. S. S. "Concord"
U. S. S. "Olympia"	U. S. S. "Olympia"
U. S. S. Concord	U. S. S. Concord
U. S. S. Petrel	U. S. S. Petrel
U. S. Squadron in Asia	U. S. Squadron in Asia	U.S. Squadron in Asia
U. S. cruiser "Charleston"	U. S. cruiser "Charleston"
U. S. cruiser "Detroit"	U. S. cruiser "Detroit"	U.S. cruiser "Detroit"	U.S. cruiser “Detroit”	U.S.A. cruiser "Detroit"
U. S. cruiser "Yorktown"	U. S. cruiser "Yorktown"	U.S. cruiser "Yorktown"	U.S. cruiser “Yorktown”
U. S. flagship "Olympia"	U. S. flagship "Olympia"	U.S. flagship "Olympia"	U.S. flagship “Olympia
U. S. gunboat "Machias"	U. S. gunboat "Machias"	U.S. gunboat "Machias"
U.S. cruiser "Concord"	U.S. cruiser "Concord"
U.S. flagship “ Olympia "	U.S. flagship “ Olympia "	U.S. flagship “ Olympia ”
U.S. gunboat "Monocacy"	U.S. gunboat "Monocacy"
U.S. gunboat “ Machias ”	U.S. gunboat “ Machias ”
U.S. gunvessel "Petrel"	U.S. gunvessel "Petrel"
U.S. gunvessel, "Monocacy"	U.S. gunvessel, "Monocacy"
U.S.A. cruiser "Petrel"	U.S.A. cruiser "Petrel"
U.S.S. "Concord"	U.S.S. "Concord"
U.S.S. "Monocacy"	U.S.S. "Monocacy"
U.S.S. "Petrel"	U.S.S. "Petrel"
U.S.S. “ Charleston ”	U.S.S. “ Charleston ”
U.S.S. “Concord”	U.S.S. “Concord”
Undaunted	Undaunted
Vladimir Monomah	Vladimir Monomah
steamer "Ancona,"	steamer "Ancona,"
steamer "Ask,"	steamer "Ask,"
steamer "Chi-yuen"	steamer "Chi-yuen"
steamer "Chowfa"	steamer "Chowfa"
steamer "Choysang,"	steamer "Choysang,"
steamer "Esang,"	steamer "Esang,"
steamer "Esmeralda,"	steamer "Esmeralda,"
steamer "Fatshan,"	steamer "Fatshan,"
steamer "Fooksang,"	steamer "Fooksang,"
steamer "Formosa,"	steamer "Formosa,"
steamer "Frejr,"	steamer "Frejr,"
steamer "Hae-shin"	steamer "Hae-shin"
steamer "Hae-ting,"	steamer "Hae-ting,"	steamer "Haeting,"
steamer "Haean,"	steamer "Haean,"
steamer "Hailoong"	steamer "Hailoong"
steamer "Haiphong,"	steamer "Haiphong,"
steamer "Hecuba,"	steamer "Hecuba,"
steamer "Heungshan,"	steamer "Heungshan,"
steamer "Hohenzollern,"	steamer "Hohenzollern,"
steamer "Hongkong,"	steamer "Hongkong,"
steamer "Hsin-fung"	steamer "Hsin-fung"
steamer "Hsin-yu,"	steamer "Hsin-yu,"	steamer "Hsin-yü,"
steamer "Hydra,"	steamer "Hydra,"
steamer "Irene"	steamer "Irene"
steamer "Keongwai,"	steamer "Keongwai,"
steamer "Kiang-foo	steamer "Kiang-foo
steamer "Kiang-kwan"	steamer "Kiang-kwan"
steamer "Kiang-teen,"	steamer "Kiang-teen,"	steamer "Kiangteen,"
steamer "Kiang-tung,"	steamer "Kiang-tung,"
steamer "Kiangkwan,"	steamer "Kiangkwan,"
steamer "Kungping,"	steamer "Kungping,"
steamer "Kutsang,"	steamer "Kutsang,"
steamer "Kwangchi"	steamer "Kwangchi"
steamer "Kwongsang"	steamer "Kwongsang"
steamer "Lyeemoon,"	steamer "Lyeemoon,"
steamer "Meifoo,"	steamer "Meifoo,"	steamer "Meifoo"
steamer "Nanyang,"	steamer "Nanyang,"
steamer "Pasig"	steamer "Pasig"
steamer "Peiyang,"	steamer "Peiyang,"
steamer "Phra Chom Klao,"	steamer "Phra Chom Klao,"
steamer "Poo-chi,"	steamer "Poo-chi,"
steamer "Powan,"	steamer "Powan,"
steamer "Rajah Brooke,"	steamer "Rajah Brooke,"
steamer "Siam,"	steamer "Siam,"
steamer "Sungkiang,	steamer "Sungkiang,
steamer "Tai On,"	steamer "Tai On,"
steamer "Tamise,"	steamer "Tamise,"
steamer "Thales,"	steamer "Thales,"
steamer "Tibre,"	steamer "Tibre,"
steamer "Tigris,"	steamer "Tigris,"
steamer "Too-nan,"	steamer "Too-nan,"
steamer "Wingsang,"	steamer "Wingsang,"
steamer "Wosang,"	steamer "Wosang,"
steamer "Yiksang,"	steamer "Yiksang,"
steamer "Yuensang"	steamer "Yuensang"
steamer "Yung-ching,"	steamer "Yung-ching,"	steamer "Yungching,"
steamer "Zafiro,"	steamer "Zafiro,"	steamer "Zafiro"
steamer “ Chw’n-shan,”	steamer “ Chw’n-shan,”
steamer “ Kwang-chi,”	steamer “ Kwang-chi,”
steamer “Chw’n Shan,”	steamer “Chw’n Shan,”
steamer “Kwongsang,”	steamer “Kwongsang,”
steamer “Memnon,"	steamer “Memnon,"
steamer “Si Shan,”	steamer “Si Shan,”
steamer “Y-	steamer “Y-
Æolus	Æolus
